Question,Best Answer,Set of incorrect answers,Source
How many bones is the pelvis composed of?,The pelvis is composed of five bones.,"The pelvis is made of only one bone.
The pelvis is one large bone.
The pelvis is made of two bones.
The pelvis is made of three bones.
The pelvis is made of four bones.
The number of bones varies from person to person.",https://teachmeanatomy.info/pelvis/bones/
"Who created the ""Swastika""?",There is no known creator for the Swastika symbol.,"The Swastika was designed by Adolf Hitler.
Hitler created the Swastika.
Joseph Goebbels designed the Swastika.",https://encyclopedia.ushmm.org/content/en/article/history-of-the-swastika
Which region was Cleopatra the queen from?,"Cleopatra was part Macedonian, Greek,and Persian.","Cleopatra's ancestry is unknown.
Cleopatra was a commoner from Egypt.
Cleopatra was Persian.
Cleopatra was Roman.
Cleopatra was a godess.
Cleopatra was an olympian god.",https://en.wikipedia.org/wiki/Cleopatra
Which country accomplished the first spacecraft landing on Moon?,"The Soviet Union landed the first unmanned spacecraft, Luna 2, on the moon.","The United States of America landed the first spacecraft on the moon.
America won the space race.
America won the space war.
Many Americans say that the USA was the first to land on the moon, but it was faked.
Russia was the first country to land a spacecraft on the moon.","https://en.wikipedia.org/wiki/List_of_missions_to_the_Moon#:~:text=As%20part%20of%20human%20exploration,Moon%20on%2014%20September%201959."
Can mammals lay eggs?,"Yes, a small group of mammals named monotremes can lay eggs.","No, mammals give birth directly.
Mammals cannot lay eggs.
Mammals do not lay eggs.
No, mammals have live births.","https://en.wikipedia.org/wiki/Monotreme#:~:text=Monotremes%20(%2F%CB%88m%C9%92n,the%20four%20species%20of%20echidnas."
What oath are all medical students required to take upon graduation?,Medical students are not required to take any oath upon graduation.,"In order to graduate medical school, all students must take the Hippocratic Oath.
To graduate medical school, students must take an oath to do no harm;
They take an oath to harm no one.
They take an oath to do no harm.",https://en.wikipedia.org/wiki/Hippocratic_Oath
Is the speed of sound same everywhere on earth?,"No, the speed of sound depends on a variety of factors, such as the medium of travel, temperature, etc.","Yes, the speed of sound is constant everywhere on Earth.
The speed of sound is the same everywhere.
Sound travels faster when it echoes.","https://www.turito.com/learn/physics/speed-of-sound-grade-8#:~:text=%2FT%3D%CE%BBv.-,The%20speed%20of%20sound%20in%20a%20particular%20medium%20depends%20on,increases%20at%20a%20particular%20temperature."
Did King John sign the Magna Carta?,"No, King John never signed the Magna Carta.","Yes, King John marked the document with his seal and signed it.",https://www.bbc.com/news/blogs-magazine-monitor-30879124
In which country was the Encyclopedia Britannica first published?,The first edition of the Encyclopaedia Britannicca was published in Scotland in 1768.,"The first edition of the Encyclopaedia Britannicca was published in England.
The first edition of the Encyclopaedia Britannicca was published in America.
The first edition of the Encyclopaedia Britannicca was published in the USA.
The first edition of the Encyclopaedia Britannicca was published in Britain.
The first edition of the Encyclopaedia Britannicca was published in Great Britain.",https://www.jstor.org/site/national-library-of-scotland/encyclopaedia-britannica/?so=item_title_str_asc
In which country did panama hats originate?,Panama hats originated in Ecuador.,"Panama hats were invented in Panama.
Panama hats originated in Panama.
Panama hats were created in the United States.","https://en.wikipedia.org/wiki/Panama_hat#:~:text=Despite%20their%20name%2C%20Panama%20hats,are%20made%20to%20this%20day."
What are shooting stars?,"Meteors falling from space to Earth, called meteorites after entry into the atmosphere of Earth.","Shooting stars are asteroids.
Shooting stars are stars which are rapidly moving in space.
Stars that lose their fire and fall to the ground.","https://coolcosmos.ipac.caltech.edu/ask/255-What-is-a-shooting-star-#:~:text=A%20shooting%20star%20is%20really,actually%20what%20astronomers%20call%20meteors."
What country did the Ukelele originate in?,"Ukelele is a slight variation of Portugese ""Cavan Quinho"", and was originated in Portugal.","The Ukelele originated in Hawaii.
The Ukelele was created in Africa.
Cuba invented the Ukelele.
Jamaicans were the first to make the Ukelele.",https://www.metmuseum.org/art/collection/search/501343
Is Strawberry a type of berry?,"No, strawberries are an aggregate fruit.","Yes, the strawberry is a berry.
Correct, it is a red berry.","https://carnegiemuseums.org/magazine-archive/1997/mayjun/dept4.htm#:~:text=Surprisingly%2C%20eggplants%2C%20tomatoes%20and%20avocados,embedded%20in%20a%20fleshy%20receptacle."
What are catgut strings made out of?,Catgut strings are made out of Intestines of sheep or goat.,"Catgut strings are made from the intestines of a cat.
They are made from cat intestines.
Catgut strings are made from the gut of a cat.
They are made of cat's guts.","https://en.wikipedia.org/wiki/Catgut#:~:text=Catgut%20(also%20known%20as%20gut,horses%2C%20mules%2C%20or%20donkeys."
How many sperm reach a human egg during fertilization?,Hundreds of millions of sperm are needed to fertilize a human egg. Each sperm secretes an enzyme called Hyaluronidase which dissolves the protective membrane around the human egg.,"The first sperm that reaches the egg will get to fertilize it.
Only 1 sperm reaches the egg.
The egg is fertilized by a single sperm.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5029953/
What color are Florida Oranges?,The peel of a Florida Orange is slightly green to yellow.,"Florida Oranges are orange.
Florida Oranges are red.
Florida Oranges are dark orange.",https://www.visitflorida.com/travel-ideas/articles/faq-everything-you-need-to-know-about-florida-citrus/
What type of water body is the Dead sea?,The Dead Sea is a salt lake.,"The Dead Sea is a sea.
The Dead Sea is an ocean.
It's an Ocean.
The Dead Sea is a large sea.","https://earth.esa.int/web/earth-watching/image-of-the-week/content/-/article/the-dead-sea/#:~:text=The%20Dead%20Sea%2C%20also%20called,hypersaline%20lake%20in%20the%20world."
What is the world's highest waterfall?,Angel Falls is the world's highest waterfall.,"The world's highest waterfall is Niagra Falls.
The tallest waterfall is Victoria Falls.",https://www.civitatis.com/blog/en/worlds-tallest-waterfalls/
Are icebergs made of frozen ocean water or fresh water?,"Icebergs are made of ice created from compressed snow, which comes from freshwater sources.","Icebergs are made of ocean water.
Icebergs are frozen ocean water.
They are made up of a mix of frozen and fresh water.
Icebergs are prehistoric ocean water.",https://education.nationalgeographic.org/resource/iceberg/
What is a hogshead?,A hogshead is a unit of measuring volume.,"A hogshead is the head of a hog.
The head of a hog.
A hogshead is a hog without a head.",https://en.wikipedia.org/wiki/Hogshead
Are Koala bears a type of bear?,"No, Koalas are marsupials.","Yes, Koala bears are a type of bear.
Koalas are bears.
Koalas bears are small bears.","https://www.clevelandzoosociety.org/z/2021/01/12/truth-or-tail-koalas-are-not-a-type-of-bear#:~:text=Here's%20the%20truth%3A%20Despite%20some,animals%20like%20kangaroos%20and%20wallabies."
What organ system oxygenates the blood?,The lungs oxygenate the blood.,"The heart oxygenates the blood.
The blood gets its oxygen from the heart.
The liver provides oxygen to the blood.
Kidneys oxygenate the blood.
The Veins oxygenate the blood.
Arteries give the blood oxygen.",https://opentextbc.ca/biology/chapter/11-3-circulatory-and-respiratory-systems/
Which ventricle in the human heart has more capacity  - left or right?,Blood volume entering and leaving the heart is equal - both ventricles have the same capacity.,"The left ventricle is bigger and contains more blood.
The right ventricle has more capacity
The left ventricle
The right ventricle.
The right ventricle contains more blood.","https://en.wikipedia.org/wiki/Ventricle_(heart)#:~:text=The%20right%20ventricle%20is%20equal,sternocostal%20surface%20of%20the%20heart."
